country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,driving,transit,walking
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/6/20,-78,-32,-28,-66,-31,12,38.48,13.6,17.23
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/7/20,-76,-32,-20,-65,-31,9,35.12,12.52,15.81
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/8/20,-74,-35,-32,-68,-65,23,40.92,15.42,17.83
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/9/20,-74,-33,-26,-69,-66,23,42.39,15.48,18.45
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/10/20,-75,-33,-30,-69,-66,23,42.72,15.21,17.99
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/11/20,-77,-36,-47,-71,-67,26,41.1,14.36,15.68
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/12/20,-74,-31,-35,-67,-63,23,51.9,17.31,22.16
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/13/20,-74,-26,-13,-62,-25,9,46.41,16.23,23.18
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/14/20,-74,-31,-20,-63,-27,9,39.64,14.21,18.26
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/15/20,-73,-34,-36,-67,-65,23,44.6,16.23,19.17
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/16/20,-73,-30,-25,-67,-65,23,46.43,16.74,20.63
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/17/20,-73,-32,-28,-67,-65,23,46.94,17.02,20.46
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/18/20,-73,-30,-31,-67,-65,23,48.08,17.24,20.89
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/19/20,-73,-31,-29,-65,-63,21,59.63,20.91,27.16
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/20/20,-74,-27,-18,-61,-24,8,48.31,17.07,22.32
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/21/20,-74,-32,-23,-62,-25,7,39.81,14.61,17.03
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/22/20,-69,-35,-33,-65,-66,21,50.45,19.47,22.51
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/23/20,-68,-28,-23,-64,-65,21,53.66,20.46,25.02
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/24/20,-69,-29,-25,-63,-64,21,54.24,20.85,24.91
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/25/20,-68,-27,-24,-63,-64,21,56.2,21.15,26.38
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/26/20,-69,-30,-31,-62,-62,20,63.8,23.44,30.23
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/27/20,-72,-29,-37,-60,-27,9,51.32,19.55,23.82
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/28/20,-69,-30,-25,-58,-24,8,48.62,19.13,23.5
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/29/20,-65,-32,-31,-62,-63,20,54.82,22.13,26.3
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,6/30/20,-65,-30,-26,-63,-64,21,56.48,21.53,25.87
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/1/20,-66,-29,-33,-63,-64,20,57.59,21.61,25.46
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/2/20,-63,-23,-20,-61,-63,18,65.9,25.22,30.13
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/3/20,-71,-34,-49,-68,-70,21,51.36,20.64,23.75
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/4/20,-73,-38,-13,-62,-32,6,47.63,20.75,25.2
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/5/20,-70,-35,-32,-59,-29,5,44.75,17.81,20.8
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/6/20,-68,-37,-45,-64,-66,21,51.4,21.27,23.21
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/7/20,-65,-25,-27,-62,-65,20,56.17,22.8,28.19
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/8/20,-66,-28,-33,-63,-64,21,57.05,23.34,27.71
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/9/20,-64,-24,-22,-60,-64,20,63.26,26.62,33.2
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/10/20,-76,-46,-66,-66,-66,25,54.24,20.04,21.3
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/11/20,-67,-23,-37,-59,-24,9,56.15,22.62,28.84
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/12/20,-64,-25,-16,-55,-26,5,55.36,23.42,30.39
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/13/20,-63,-29,-28,-62,-64,20,57.62,24.31,29.68
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/14/20,-62,-25,-18,-61,-64,19,61.6,26.3,33.2
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/15/20,-62,-27,-18,-61,-63,19,63.9,26.23,34.23
