month,state,county,date,driving,transit,walking
Apr,New York,BROOKLYN,2020/4/4,-55.78,-83.46,-60.4
Apr,New York,MANHATTAN,2020/4/4,-81.7,-93.56,-91.57
Apr,New York,QUEENS,2020/4/4,-60.71,-85.52,-60.08
Apr,New York,STATEN ISLAND,2020/4/4,-48.86,-80.37,-32.85
Apr,New York,BRONX,2020/4/5,-59.66,-79.75,-57.99
Apr,New York,BROOKLYN,2020/4/5,-61.11,-84.17,-66.5
Apr,New York,MANHATTAN,2020/4/5,-83.61,-93.85,-93.07
Apr,New York,QUEENS,2020/4/5,-66.51,-86.35,-65.39
Apr,New York,STATEN ISLAND,2020/4/5,-58.36,-82.16,-46.56
Apr,New York,BRONX,2020/4/6,-48.98,-74.26,-47.96
Apr,New York,BROOKLYN,2020/4/6,-52.66,-81.52,-58.33
Apr,New York,MANHATTAN,2020/4/6,-81.69,-93.02,-91.59
Apr,New York,QUEENS,2020/4/6,-58.37,-83.9,-57.51
Apr,New York,STATEN ISLAND,2020/4/6,-49.84,-76.94,-34.24
Apr,New York,BRONX,2020/4/7,-50.44,-76.24,-49.33
Apr,New York,BROOKLYN,2020/4/7,-52.86,-82.24,-61.21
Apr,New York,MANHATTAN,2020/4/7,-81.37,-93.4,-91.95
Apr,New York,QUEENS,2020/4/7,-59.12,-84.72,-58.9
Apr,New York,STATEN ISLAND,2020/4/7,-49.53,-79.42,-30.8
Apr,New York,BRONX,2020/4/8,-51.23,-76.17,-51.51
Apr,New York,BROOKLYN,2020/4/8,-55.25,-82.96,-64.17
Apr,New York,MANHATTAN,2020/4/8,-81.31,-93.55,-92.46
Apr,New York,QUEENS,2020/4/8,-59.64,-84.73,-60.77
Apr,New York,STATEN ISLAND,2020/4/8,-49.15,-79.1,-32.42
Apr,New York,BRONX,2020/4/9,-52.03,-77.51,-55.66
Apr,New York,BROOKLYN,2020/4/9,-56.24,-83.52,-69.05
Apr,New York,MANHATTAN,2020/4/9,-81.2,-93.65,-93.22
Apr,New York,QUEENS,2020/4/9,-60.66,-85.42,-66.21
Apr,New York,STATEN ISLAND,2020/4/9,-50.25,-79.62,-39.95
Apr,New York,BRONX,2020/4/10,-45.95,-75.4,-50.7
Apr,New York,BROOKLYN,2020/4/10,-51.53,-83.13,-66.04
Apr,New York,MANHATTAN,2020/4/10,-79.39,-93.18,-92.56
Apr,New York,QUEENS,2020/4/10,-56,-85.32,-61.65
Apr,New York,STATEN ISLAND,2020/4/10,-41.38,-78.48,-31.85
Apr,New York,BRONX,2020/4/11,-49.41,-78.79,-50.67
Apr,New York,BROOKLYN,2020/4/11,-52.25,-83.96,-59.53
Apr,New York,MANHATTAN,2020/4/11,-80.08,-93.43,-91.33
Apr,New York,QUEENS,2020/4/11,-58.37,-86.12,-59.22
Apr,New York,STATEN ISLAND,2020/4/11,-44.58,-80.89,-30.58
Apr,New York,BRONX,2020/4/12,-60.32,-80.72,-61.53
Apr,New York,BROOKLYN,2020/4/12,-61.53,-85.57,-67.62
Apr,New York,MANHATTAN,2020/4/12,-83.15,-94.19,-93.04
Apr,New York,QUEENS,2020/4/12,-66.9,-87.21,-68.52
Apr,New York,STATEN ISLAND,2020/4/12,-62.76,-82.45,-51.82
Apr,New York,BRONX,2020/4/13,-53.73,-77.62,-58.52
Apr,New York,BROOKLYN,2020/4/13,-56.92,-84.1,-71.65
Apr,New York,MANHATTAN,2020/4/13,-81.5,-93.42,-93.7
Apr,New York,QUEENS,2020/4/13,-62.15,-85.33,-69.15
Apr,New York,STATEN ISLAND,2020/4/13,-55.56,-76.87,-51.39
Apr,New York,BRONX,2020/4/14,-45.78,-75.12,-48.43
Apr,New York,BROOKLYN,2020/4/14,-49.77,-81.67,-61.58
Apr,New York,MANHATTAN,2020/4/14,-79.73,-92.95,-91.73
Apr,New York,QUEENS,2020/4/14,-55.35,-83.69,-56.88
Apr,New York,STATEN ISLAND,2020/4/14,-44.64,-76.3,-38.38
Apr,New York,BRONX,2020/4/15,-42.51,-76.15,-47.34
Apr,New York,BROOKLYN,2020/4/15,-48.92,-83.08,-62.98
Apr,New York,MANHATTAN,2020/4/15,-79.44,-93.13,-92.02
Apr,New York,QUEENS,2020/4/15,-54.37,-84.77,-58.38
Apr,New York,STATEN ISLAND,2020/4/15,-42.83,-77.95,-36.18
Apr,New York,BRONX,2020/4/16,-42.8,-76.44,-46.84
Apr,New York,BROOKLYN,2020/4/16,-47.91,-83.1,-64.3
Apr,New York,MANHATTAN,2020/4/16,-79.29,-93.13,-92.18
Apr,New York,QUEENS,2020/4/16,-54.3,-85.06,-59.7
Apr,New York,STATEN ISLAND,2020/4/16,-41.1,-77.33,-33.73
Apr,New York,BRONX,2020/4/17,-37.46,-76.15,-42.98
Apr,New York,BROOKLYN,2020/4/17,-41.82,-83.04,-61
Apr,New York,MANHATTAN,2020/4/17,-77.27,-93.15,-91.57
Apr,New York,QUEENS,2020/4/17,-50.73,-84.69,-57.71
Apr,New York,STATEN ISLAND,2020/4/17,-34.9,-78.16,-30.41
Apr,New York,BRONX,2020/4/18,-46.15,-80.24,-50.76
Apr,New York,BROOKLYN,2020/4/18,-48.27,-84.94,-65.26
Apr,New York,MANHATTAN,2020/4/18,-79.36,-93.76,-92.49
Apr,New York,QUEENS,2020/4/18,-55.44,-85.99,-60.81
Apr,New York,STATEN ISLAND,2020/4/18,-44.73,-80.07,-35.84
Apr,New York,BRONX,2020/4/19,-49.08,-79.06,-50.61
Apr,New York,BROOKLYN,2020/4/19,-51.98,-84.04,-58.06
Apr,New York,MANHATTAN,2020/4/19,-78.99,-93.52,-90.35
