Date,Borough,count
20200912,Brooklyn,23008
20200912,Manhattan,73224
20200912,Queen,4270
20200913,Bronx,845
20200913,Brooklyn,18617
20200913,Manhattan,61671
20200913,Queen,3549
20200914,Bronx,925
20200914,Brooklyn,14590
20200914,Manhattan,60671
20200914,Queen,3077
20200915,Bronx,898
20200915,Brooklyn,15474
20200915,Manhattan,64620
20200915,Queen,3126
20200916,Bronx,1005
20200916,Brooklyn,15920
20200916,Manhattan,66820
20200916,Queen,3232
20200917,Bronx,982
20200917,Brooklyn,16174
20200917,Manhattan,67150
20200917,Queen,3184
20200918,Bronx,968
20200918,Brooklyn,17123
20200918,Manhattan,67563
20200918,Queen,3364
20200919,Bronx,915
20200919,Brooklyn,19977
20200919,Manhattan,65309
20200919,Queen,3784
20200920,Bronx,851
20200920,Brooklyn,17481
20200920,Manhattan,56190
20200920,Queen,3144
20200921,Bronx,906
20200921,Brooklyn,13163
20200921,Manhattan,55384
20200921,Queen,2658
20200922,Bronx,943
20200922,Brooklyn,15501
20200922,Manhattan,63440
20200922,Queen,2977
20200923,Bronx,1128
20200923,Brooklyn,17088
20200923,Manhattan,69065
20200923,Queen,3319
20200924,Bronx,988
20200924,Brooklyn,16387
20200924,Manhattan,66295
20200924,Queen,3268
20200925,Bronx,1179
20200925,Brooklyn,18401
20200925,Manhattan,70725
20200925,Queen,3407
20200926,Bronx,1045
20200926,Brooklyn,21879
20200926,Manhattan,72310
20200926,Queen,4028
20200927,Bronx,1025
20200927,Brooklyn,19576
20200927,Manhattan,63295
20200927,Queen,3515
20200928,Bronx,1090
20200928,Brooklyn,14878
20200928,Manhattan,59038
20200928,Queen,3050
20200929,Bronx,679
20200929,Brooklyn,11253
20200929,Manhattan,45704
20200929,Queen,2180
20200930,Bronx,1056
20200930,Brooklyn,16215
20200930,Manhattan,65367
20200930,Queen,3153
20201001,Bronx,1205
20201001,Brooklyn,16821
20201001,Manhattan,68256
20201001,Queen,3436
20201002,Bronx,1129
20201002,Brooklyn,15937
20201002,Manhattan,60914
20201002,Queen,3021
20201003,Bronx,1278
20201003,Brooklyn,21407
20201003,Manhattan,69133
20201003,Queen,3744
20201004,Bronx,1106
20201004,Brooklyn,18121
20201004,Manhattan,58188
20201004,Queen,3247
20201005,Bronx,1055
20201005,Brooklyn,14290
20201005,Manhattan,57602
20201005,Queen,2848
20201006,Bronx,1263
20201006,Brooklyn,16452
20201006,Manhattan,64806
20201006,Queen,3113
20201007,Bronx,1099
20201007,Brooklyn,15478
20201007,Manhattan,61693
